Importance,cumulative_weight
0.2455203533640997,24.55%
0.13259840718458715,37.81%
0.0799743451412429,45.81%
0.07984310514583276,53.79%
0.048880563075502835,58.68%
0.042559893032673296,62.94%
0.04177552550722242,67.12%
0.041614512904227026,71.28%
0.03189520182955461,74.47%
0.030680385235080834,77.53%
0.028655319507647815,80.40%
0.028123268738451664,83.21%
0.026805490999997194,85.89%
0.024526963128482147,88.35%
0.013609471418230334,89.71%
0.010172697088420321,90.72%
0.009105741542164425,91.63%
0.00759282796132947,92.39%
0.007475360007157097,93.14%
0.0073891388565504095,93.88%
0.006702498964972845,94.55%
0.005706003736931336,95.12%
0.00559994148224971,95.68%
0.005340079605597965,96.21%
0.0036119622433840744,96.58%
0.0034144591199322012,96.92%
0.00329678567100071,97.25%
0.002880438716561556,97.54%
0.0025653203535417673,97.79%
0.0023568004058408466,98.03%
0.0021960716951694836,98.25%
0.002158732986795819,98.46%
0.0018237052683305083,98.65%
0.0017176390045922133,98.82%
0.0016083776036807805,98.98%
0.0015992410569805923,99.14%
0.001577391520107888,99.30%
0.0015008637908056584,99.45%
0.001279770684247703,99.57%
0.0010022654400882744,99.67%
0.0009460733537194663,99.77%
0.0008600892781367032,99.85%
0.0006382149879322488,99.92%
0.0004654307444311338,99.96%
0.00013447986811491685,99.98%
0.00012865183596890909,99.99%
8.802251031412697e-05,100.00%
2.1164021164021096e-06,100.00%
0.0,100.00%
0.0,100.00%
0.0,100.00%
0.0,100.00%
0.0,100.00%
0.0,100.00%
